"Gene stable ID","Strand","Gene end (bp)","Gene start (bp)","Chromosome/scaffold name","Gene name"
"ENSG00000115386",1,79123409,79120362,"2","REG1A"
"ENSG00000274533",1,54856124,54845266,"CHR_HSCHR19LRC_LRC_S_CTG3_1","KIR2DS4"
"ENSG00000259316",-1,64381440,64181180,"15","AC087632.2"
"ENSG00000109101",1,28538896,28506243,"17","FOXN1"
"ENSG00000073737",1,169096167,169064789,"2","DHRS9"
"ENSG00000184205",1,53088540,53082367,"X","TSPYL2"
"ENSG00000169807",-1,22096007,22071756,"Y","PRY2"
"ENSG00000206535",1,100456319,100401532,"3","LNP1"
"ENSG00000158163",-1,138115818,138061990,"3","DZIP1L"
"ENSG00000109103",-1,28552631,28546708,"17","UNC119"
"ENSG00000154174",-1,100401089,100363431,"3","TOMM70"
"ENSG00000163961",-1,196503768,196468783,"3","RNF168"
"ENSG00000092841",1,56163496,56158161,"12","MYL6"
"ENSG00000277709",1,54885779,54883911,"CHR_HSCHR19LRC_LRC_J_CTG3_1","KIR3DL2"
"ENSG00000204348",-1,31972290,31969810,"6","DXO"
"ENSG00000276996",-1,1449666,1392790,"CHR_HSCHR5_3_CTG1","SLC6A3"
"ENSG00000153721",-1,154510685,154387515,"6","CNKSR3"
"ENSG00000235956",-1,32162042,32156028,"CHR_HSCHR6_MHC_SSTO_CTG1","PRRT1"
"ENSG00000214097",-1,196515346,196506879,"3","SMCO1"
"ENSG00000166747",-1,71809201,71729000,"16","AP1G1"
"ENSG00000186451",1,57075432,57060664,"3","SPATA12"
"ENSG00000204930",-1,35828747,35816391,"9","FAM221B"
"ENSG00000166803",-1,64387687,64364304,"15","PCLAF"
"ENSG00000169964",1,44865670,44861904,"3","TMEM42"
"ENSG00000012504",1,100564414,100473708,"12","NR1H4"
"ENSG00000169800",-1,22182982,22168542,"Y","RBMY1F"
"ENSG00000260238",1,156243332,156212982,"1","PMF1-BGLAP"
"ENSG00000285645",-1,35828732,35812960,"9","AL133410.3"
"ENSG00000153317",-1,130443674,130052104,"8","ASAP1"
"ENSG00000137103",1,35865518,35814451,"9","TMEM8B"
"ENSG00000083812",1,58475436,58467045,"19","ZNF324"
"ENSG00000176428",1,73672112,73667831,"7","VPS37D"
"ENSG00000185798",-1,196568674,196554177,"3","WDR53"
"ENSG00000242252",1,156243317,156242184,"1","BGLAP"
"ENSG00000018610",-1,119565408,119538149,"X","CXorf56"
"ENSG00000176715",1,89164121,89088375,"16","ACSF3"
"ENSG00000160781",-1,156248117,156243320,"1","PAQR6"
"ENSG00000083807",-1,58512413,58479512,"19","SLC27A5"
"ENSG00000175538",-1,74467729,74454841,"11","KCNE3"
"ENSG00000181085",1,143722458,143716340,"8","MAPK15"
"ENSG00000100505",-1,51096061,50975262,"14","TRIM9"
"ENSG00000174013",1,196589059,196568611,"3","FBXO45"
"ENSG00000169118",-1,64356173,64165525,"15","CSNK1G1"
"ENSG00000169064",-1,167381346,167240287,"3","ZBBX"
"ENSG00000112038",1,154246867,154010496,"6","OPRM1"
"ENSG00000204344",1,31982821,31971091,"6","STK19"
"ENSG00000083838",1,58481230,58474017,"19","ZNF446"
"ENSG00000104835",-1,38930896,38915266,"19","SARS2"
"ENSG00000137133",-1,35815354,35812960,"9","HINT2"
"ENSG00000147509",1,53959303,53851795,"8","RGS20"
"ENSG00000103056",-1,68448508,68358327,"16","SMPD3"
"ENSG00000166359",1,33175799,33132090,"19","WDR88"
"ENSG00000286221",-1,81006894,80828736,"16","AC009070.1"
"ENSG00000165434",-1,74398433,74330316,"11","PGM2L1"
"ENSG00000166451",1,81033114,81006498,"16","CENPN"
"ENSG00000123908",-1,140635633,140520156,"8","AGO2"
"ENSG00000275921",1,54882047,54867554,"CHR_HSCHR19LRC_LRC_J_CTG3_1","CU633846.1"
"ENSG00000174007",-1,196712250,196706277,"3","CEP19"
"ENSG00000174004",1,196662004,196639694,"3","NRROS"
"ENSG00000013375",-1,83193936,83161150,"6","PGM3"
"ENSG00000158525",1,130368730,130344816,"7","CPA5"
"ENSG00000153822",1,70135608,70053429,"17","KCNJ16"
"ENSG00000154845",-1,9615240,9546791,"18","PPP4R1"
"ENSG00000143995",1,66573869,66433452,"2","MEIS1"
"ENSG00000102271",1,87670050,87517409,"X","KLHL4"
"ENSG00000155100",1,91087095,91070196,"8","OTUD6B"
"ENSG00000163964",1,196736007,196639775,"3","PIGX"
"ENSG00000118017",-1,138132390,138123713,"3","A4GNT"
"ENSG00000173838",-1,62808344,62701314,"17","MARCHF10"
"ENSG00000185565",-1,117139389,115802363,"3","LSAMP"
"ENSG00000176410",-1,73683453,73680918,"7","DNAJC30"
"ENSG00000138231",-1,138174921,138160988,"3","DBR1"
"ENSG00000269190",-1,38975742,38941401,"19","FBXO17"
"ENSG00000196465",1,56159647,56152256,"12","MYL6B"
"ENSG00000071462",1,73705161,73683025,"7","BUD23"
"ENSG00000160783",1,156240042,156212993,"1","PMF1"
"ENSG00000129910",1,89195492,89171748,"16","CDH15"
"ENSG00000269547",-1,38949855,38915404,"19","AC011455.2"
"ENSG00000100206",-1,38570204,38518948,"22","DMC1"
"ENSG00000161243",-1,39032785,38990714,"19","FBXO27"
"ENSG00000259803",-1,89201651,89195761,"16","SLC22A31"
"ENSG00000266967",-1,42964498,42950526,"17","AARSD1"
"ENSG00000139613",-1,56189567,56162359,"12","SMARCC2"
"ENSG00000180370",1,196832647,196739857,"3","PAK2"
"ENSG00000128626",1,38933162,38930548,"19","MRPS12"
"ENSG00000164050",-1,48430086,48403854,"3","PLXNB1"
"ENSG00000136451",-1,57988259,57971547,"17","VEZF1"
"ENSG00000162951",-1,80304752,80288351,"2","LRRTM1"
"ENSG00000143669",-1,235883640,235661041,"1","LYST"
"ENSG00000170100",1,89237071,89217703,"16","ZNF778"
"ENSG00000114204",-1,167479004,167441789,"3","SERPINI2"
"ENSG00000163932",1,53192717,53156009,"3","PRKCD"
"ENSG00000066032",1,80648861,79185231,"2","CTNNA2"
"ENSG00000168710",1,110023742,109984765,"1","AHCYL1"
"ENSG00000188536",1,173710,172876,"16","HBA2"
"ENSG00000119231",1,196934714,196867856,"3","SENP5"
"ENSG00000134532",-1,24562544,23529504,"12","SOX5"
"ENSG00000135677",-1,64759431,64713445,"12","GNS"
"ENSG00000166454",1,81047350,81035842,"16","ATMIN"
"ENSG00000196233",1,96995959,96832282,"10","LCOR"
"ENSG00000108825",-1,42980528,42950526,"17","PTGES3L-AARSD1"
"ENSG00000141564",1,80966371,80544819,"17","RPTOR"
"ENSG00000260643",-1,81096296,81053587,"16","AC092718.3"
"ENSG00000125746",-1,45645629,45606994,"19","EML2"
"ENSG00000130055",1,70433390,70423031,"X","GDPD2"
"ENSG00000151655",1,7749520,7703316,"10","ITIH2"
"ENSG00000103121",-1,81020270,80966448,"16","CMC2"
"ENSG00000174776",-1,167653983,167478684,"3","WDR49"
"ENSG00000288520",-1,154510114,154159828,"6","AL357075.4"
"ENSG00000106089",-1,73719672,73699206,"7","STX1A"
"ENSG00000074706",-1,154356792,154154496,"6","IPCEF1"
"ENSG00000181458",1,100577444,100492619,"3","TMEM45A"
"ENSG00000114503",-1,196942594,196935402,"3","NCBP2"
"ENSG00000158715",-1,205680509,205657851,"1","SLC45A3"
"ENSG00000206172",1,177522,176680,"16","HBA1"
"ENSG00000149201",1,86423109,86374736,"11","CCDC81"
"ENSG00000169683",1,82031151,82023305,"17","LRRC45"
"ENSG00000087191",1,63832026,63827152,"17","PSMC5"
"ENSG00000163053",-1,230068993,230034982,"2","SLC16A14"
"ENSG00000185551",1,96340263,96325938,"15","NR2F2"
"ENSG00000069275",-1,205750182,205712822,"1","NUCKS1"
"ENSG00000086506",1,181179,180459,"16","HBQ1"
"ENSG00000270170",1,196943543,196942674,"3","NCBP2AS2"
"ENSG00000198677",-1,95555007,95461755,"5","TTC37"
"ENSG00000119227",-1,196969060,196946356,"3","PIGZ"
"ENSG00000180921",-1,143738234,143723933,"8","FAM83H"
"ENSG00000169689",-1,82024107,82018702,"17","CENPX"
"ENSG00000114209",-1,167734939,167683298,"3","PDCD10"
"ENSG00000166455",-1,81077267,81053497,"16","C16orf46"
"ENSG00000203499",1,143790644,143734140,"8","IQANK1"
"ENSG00000172016",-1,79159753,79157003,"2","REG3A"
"ENSG00000110958",-1,56688408,56663341,"12","PTGES3"
"ENSG00000083097",1,83171350,83067666,"6","DOP1A"
"ENSG00000284512",-1,81096284,81022316,"16","AC092718.8"
"ENSG00000140905",-1,81096395,81081945,"16","GCSH"
"ENSG00000123700",1,70180044,70168673,"17","KCNJ2"
"ENSG00000068784",-1,45612165,45388680,"2","SRBD1"
"ENSG00000136450",-1,58007346,58000919,"17","SRSF1"
"ENSG00000170310",-1,9576591,9250471,"17","STX8"
"ENSG00000163975",-1,197029817,196988621,"3","MELTF"
"ENSG00000126460",1,49591004,49580646,"19","PRRG2"
"ENSG00000223510",-1,14236862,14235673,"17","CDRT15"
"ENSG00000128050",1,56464579,56435741,"4","PAICS"
"ENSG00000117643",1,25786207,25617468,"1","MAN1C1"
"ENSG00000155115",1,110967890,110958706,"6","GTF3C6"
"ENSG00000266086",-1,58007246,57989038,"17","AC015813.2"
"ENSG00000143379",1,150964744,150926263,"1","SETDB1"
"ENSG00000267060",-1,42980433,42968088,"17","PTGES3L"
"ENSG00000205609",-1,28403879,28379579,"16","EIF3CL"
"ENSG00000181322",-1,138329886,138261437,"3","NME9"
"ENSG00000099365",-1,31010638,30989256,"16","STX1B"
"ENSG00000111186",1,1647212,1529891,"12","WNT5B"
"ENSG00000144847",-1,119146068,118900557,"3","IGSF11"
"ENSG00000108592",-1,63830012,63819433,"17","FTSJ3"
"ENSG00000251287",1,130113227,130081831,"3","ALG1L2"
"ENSG00000278174",1,47052838,46886236,"CHR_HSCHR17_1_CTG5","NSF"
"ENSG00000101082",-1,36646196,36612318,"20","SLA2"
"ENSG00000171054",1,131545056,131543976,"X","OR13H1"
"ENSG00000171823",-1,1594581,1565993,"12","FBXL14"
"ENSG00000079263",1,230313215,230203110,"2","SP140"
"ENSG00000259399",1,36612384,36574553,"20","TGIF2-RAB5IF"
"ENSG00000147183",1,88754785,88747225,"X","CPXCR1"
"ENSG00000013392",1,83198935,83193357,"6","RWDD2A"
"ENSG00000249693",1,56603507,56530606,"4","THEGL"
"ENSG00000118707",1,36593950,36573488,"20","TGIF2"
"ENSG00000116132",1,170739421,170662728,"1","PRRX1"
"ENSG00000167363",1,82751196,82735615,"17","FN3K"
"ENSG00000197587",1,46516216,46489836,"1","DMBX1"
"ENSG00000092978",-1,217631090,217426992,"1","GPATCH2"
"ENSG00000276468",1,54865626,54852887,"CHR_HSCHR19LRC_LRC_J_CTG3_1","KIR2DP1"
"ENSG00000116478",1,32333635,32292083,"1","HDAC1"
"ENSG00000174780",1,56503681,56467617,"4","SRP72"
"ENSG00000253719",1,74545430,74537835,"12","ATXN7L3B"
"ENSG00000147255",-1,131578899,131273506,"X","IGSF1"
"ENSG00000167077",1,41799456,41699503,"22","MEI1"
"ENSG00000114544",-1,126101561,126006355,"3","SLC41A3"
"ENSG00000130876",-1,33225850,33208664,"19","SLC7A10"
"ENSG00000101084",1,36612557,36605779,"20","RAB5IF"
"ENSG00000142546",-1,49590262,49555468,"19","NOSIP"
"ENSG00000114098",1,138298384,138187248,"3","ARMC8"
"ENSG00000116752",-1,114581629,114567557,"1","BCAS2"
"ENSG00000167550",-1,49070025,49064676,"12","RHEBL1"
"ENSG00000232593",1,53170914,53094145,"X","KANTR"
"ENSG00000188389",-1,241858894,241849884,"2","PDCD1"
"ENSG00000117280",-1,205775482,205767986,"1","RAB29"
"ENSG00000130881",1,33208864,33177603,"19","LRP3"
"ENSG00000157600",1,110182734,110002631,"X","TMEM164"
"ENSG00000276875",1,54850914,54838897,"CHR_HSCHR19LRC_LRC_J_CTG3_1","KIR3DL3"
"ENSG00000188011",1,241873823,241869600,"2","RTP5"
"ENSG00000067445",1,54931431,54920462,"X","TRO"
"ENSG00000114738",1,50649291,50611520,"3","MAPKAPK3"
"ENSG00000143418",-1,150975004,150960583,"1","CERS2"
"ENSG00000125430",1,14349404,14301081,"17","HS3ST3B1"
"ENSG00000106153",-1,56106476,56101573,"7","CHCHD2"
"ENSG00000186416",-1,119606443,119588337,"X","NKRF"
"ENSG00000216921",-1,241902551,241893985,"2","FAM240C"
"ENSG00000204228",1,33206831,33204655,"6","HSD17B8"
"ENSG00000110921",1,109598125,109573255,"12","MVK"
"ENSG00000206329",1,32121288,32111042,"CHR_HSCHR6_MHC_QBL_CTG1","PPT2"
"ENSG00000130723",1,131500197,131373636,"9","PRRC2B"
"ENSG00000185290",-1,56116417,56114681,"7","NUPR2"
"ENSG00000133019",1,239915452,239386565,"1","CHRM3"
"ENSG00000228575",-1,30762547,30744466,"CHR_HSCHR6_MHC_MANN_CTG1","MDC1"
"ENSG00000226941",1,22417881,22403461,"Y","RBMY1J"
"ENSG00000163319",1,83469735,83455932,"4","MRPS18C"
"ENSG00000163050",1,226987545,226897536,"1","COQ8A"
"ENSG00000121966",-1,136118149,136114349,"2","CXCR4"
"ENSG00000178175",-1,72507410,72439903,"5","ZNF366"
"ENSG00000139921",1,51257655,51240162,"14","TMX1"
"ENSG00000282881",-1,46543969,46532166,"1","TMEM275"
"ENSG00000077721",1,119591083,119574536,"X","UBE2A"
"ENSG00000114737",-1,50611831,50606490,"3","CISH"
"ENSG00000082458",1,70505490,70444835,"X","DLG3"
"ENSG00000197651",-1,90955176,90905622,"12","CCER1"
"ENSG00000275583",1,54761173,54746804,"CHR_HSCHR19LRC_LRC_I_CTG3_1","CU464060.1"
"ENSG00000079277",-1,46616843,46557408,"1","MKNK1"
"ENSG00000083782",-1,91005026,90963682,"12","EPYC"
"ENSG00000184949",-1,38656629,38578120,"22","FAM227A"
"ENSG00000196503",1,56525481,56505209,"4","ARL9"
"ENSG00000163322",-1,83523348,83459517,"4","ABRAXAS1"
"ENSG00000169856",-1,52791078,52755053,"15","ONECUT1"
"ENSG00000153779",1,89922883,89921908,"X","TGIF2LX"
"ENSG00000182378",1,303356,276322,"X","PLCXD1"
"ENSG00000139330",-1,91057983,91050491,"12","KERA"
"ENSG00000100147",1,41826299,41800679,"22","CCDC134"
"ENSG00000156313",-1,38327544,38269170,"X","RPGR"
"ENSG00000264364",1,58095542,58083419,"17","DYNLL2"
"ENSG00000164896",-1,151080866,151076593,"7","FASTK"
"ENSG00000169789",1,22514637,22490397,"Y","PRY"
"ENSG00000162814",1,217871696,217631324,"1","SPATA17"
"ENSG00000167751",1,50880567,50861568,"19","KLK2"
"ENSG00000163536",1,167825568,167735243,"3","SERPINI1"
"ENSG00000175216",-1,46846308,46743048,"11","CKAP5"
"ENSG00000137691",1,102084554,102047437,"11","CFAP300"
"ENSG00000006831",1,1788674,1688574,"12","ADIPOR2"
"ENSG00000089159",-1,120265771,120210439,"12","PXN"
"ENSG00000274921",1,54854081,54763075,"CHR_HSCHR19LRC_LRC_I_CTG3_1","KIR2DS4"
"ENSG00000141194",1,58159555,58148449,"17","OR4D1"
"ENSG00000135899",-1,230225729,230167293,"2","SP110"
"ENSG00000178605",-1,318819,304529,"X","GTPBP6"
"ENSG00000140798",-1,48156018,48081006,"16","ABCC12"
"ENSG00000174740",1,91438584,91434595,"X","PABPC5"
"ENSG00000206331",-1,32111974,32105963,"CHR_HSCHR6_MHC_QBL_CTG1","PRRT1"
"ENSG00000139428",-1,109573580,109553715,"12","MMAB"
"ENSG00000255713",1,58171411,58166982,"17","OR4D2"
"ENSG00000274412",1,54777585,54763061,"CHR_HSCHR19LRC_LRC_I_CTG3_1","KIR2DL2"
"ENSG00000175984",-1,114670422,114582848,"1","DENND2C"
"ENSG00000139549",-1,49094801,49086656,"12","DHH"
"ENSG00000166006",-1,75209868,75040077,"12","KCNC2"
"ENSG00000164733",-1,11869448,11842524,"8","CTSB"
"ENSG00000244444",1,32125889,32122191,"CHR_HSCHR6_MHC_QBL_CTG1","EGFL8"
"ENSG00000108061",1,111013667,110919547,"10","SHOC2"
"ENSG00000064313",-1,119832841,119730774,"8","TAF2"
"ENSG00000162430",1,25818221,25800176,"1","SELENON"
"ENSG00000102048",-1,15270467,15235288,"X","ASB9"
"ENSG00000273911",1,54864640,54855924,"CHR_HSCHR19LRC_LRC_I_CTG3_1","KIR3DL2"
"ENSG00000139842",1,113267108,113208193,"13","CUL4A"
"ENSG00000143862",-1,202144743,202133404,"1","ARL8A"
"ENSG00000147874",-1,19102904,19053141,"9","HAUS6"
"ENSG00000115657",-1,219218994,219209772,"2","ABCB6"
"ENSG00000136895",1,127393660,127224265,"9","GARNL3"
"ENSG00000127423",-1,25859458,25831913,"1","AUNIP"
"ENSG00000206324",-1,32135704,32125820,"CHR_HSCHR6_MHC_QBL_CTG1","AGPAT1"
"ENSG00000170075",1,202133592,202122917,"1","GPR37L1"
"ENSG00000173905",-1,168095924,168008689,"3","GOLIM4"
"ENSG00000142961",-1,46616891,46607715,"1","MOB3C"
"ENSG00000121053",1,58205174,58192726,"17","EPX"
"ENSG00000117640",1,25832942,25818640,"1","MTFR1L"
"ENSG00000154640",-1,17612947,17593653,"21","BTG3"
"ENSG00000137693",1,102233424,102110447,"11","YAP1"
"ENSG00000162456",-1,46551527,46545644,"1","KNCN"
"ENSG00000155363",1,112700746,112673141,"1","MOV10"
"ENSG00000130300",-1,17377342,17351450,"19","PLVAP"
"ENSG00000144820",1,100695479,100609601,"3","ADGRG7"
"ENSG00000259417",-1,80252213,80195481,"15","CTXND1"
"ENSG00000251012",1,119187807,119147375,"3","AC083800.1"
"ENSG00000163424",1,119160042,119146151,"3","TEX55"
"ENSG00000094963",1,171212686,171185249,"1","FMO2"
"ENSG00000175130",-1,32336233,32333839,"1","MARCKSL1"
"ENSG00000114638",1,119205143,119173517,"3","UPK1B"
"ENSG00000164897",-1,151083493,151081085,"7","TMUB1"
"ENSG00000018625",1,160143591,160115759,"1","ATP1A2"
"ENSG00000139354",1,100628288,100573683,"12","GAS2L3"
"ENSG00000166971",-1,53504411,53491040,"16","AKTIP"
"ENSG00000100299",-1,50628173,50622754,"22","ARSA"
"ENSG00000132554",-1,100131268,99960936,"8","RGS22"
"ENSG00000117501",1,171064765,170935471,"1","MROH9"
"ENSG00000214954",1,91219236,91101832,"8","LRRC69"
"ENSG00000284820",-1,219222738,219209772,"2","AC068946.2"
"ENSG00000125398",1,72126416,72121020,"17","SOX9"
"ENSG00000188687",-1,74343414,74216242,"2","SLC4A5"
"ENSG00000198925",-1,219229717,219219380,"2","ATG9A"
"ENSG00000275031",1,83097050,83077507,"CHR_HSCHR17_1_CTG9","METRNL"
"ENSG00000126226",-1,113208715,113177536,"13","PCID2"
